n_bits,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256
175,-1,-0.3257142857,-0.1428571429,-0.05142857143,-0.01714285714,-0.005714285714,0.005714285714,0.01714285714,0.04,0.05142857143,0.06285714286,0.07428571429,0.08571428571,0.1085714286,0.1085714286,0.1314285714,0.1428571429,0.1542857143,0.1657142857,0.1771428571,0.2,0.2114285714,0.2114285714,0.2228571429,0.2457142857,0.2457142857,0.2457142857,0.2685714286,0.2685714286,0.28,0.28,0.2914285714,0.3142857143,0.3257142857,0.3257142857,0.3371428571,0.3371428571,0.3485714286,0.36,0.3714285714,0.3714285714,0.3714285714,0.3828571429,0.3828571429,0.3942857143,0.4057142857,0.4057142857,0.4171428571,0.4285714286,0.4285714286,0.44,0.4514285714,0.4514285714,0.4514285714,0.4628571429,0.4628571429,0.4742857143,0.4857142857,0.4857142857,0.4971428571,0.4971428571,0.5085714286,0.5085714286,0.52,0.52,0.52,0.5314285714,0.5428571429,0.5428571429,0.5428571429,0.5428571429,0.5428571429,0.5542857143,0.5542857143,0.5542857143,0.5657142857,0.5771428571,0.5885714286,0.5885714286,0.5885714286,0.6,0.6114285714,0.6114285714,0.6114285714,0.6228571429,0.6228571429,0.6342857143,0.6457142857,0.6457142857,0.6457142857,0.6571428571,0.6571428571,0.6571428571,0.6685714286,0.68,0.68,0.68,0.68,0.6914285714,0.7028571429,0.7028571429,0.7028571429,0.7142857143,0.7142857143,0.7257142857,0.7257142857,0.7257142857,0.7257142857,0.7485714286,0.7485714286,0.7485714286,0.7485714286,0.7714285714,0.7714285714,0.7714285714,0.7714285714,0.7714285714,0.7714285714,0.7828571429,0.7942857143,0.7942857143,0.7942857143,0.8057142857,0.8057142857,0.8057142857,0.8171428571,0.8171428571,0.8171428571,0.8285714286,0.84,0.84,0.84,0.84,0.84,0.84,0.8628571429,0.8628571429,0.8628571429,0.8628571429,0.8742857143,0.8742857143,0.8742857143,0.8857142857,0.8857142857,0.8971428571,0.8971428571,0.8971428571,0.8971428571,0.9085714286,0.9085714286,0.9085714286,0.92,0.92,0.92,0.9314285714,0.9314285714,0.9314285714,0.9314285714,0.9314285714,0.9428571429,0.9542857143,0.9542857143,0.9542857143,0.9542857143,0.9542857143,0.9542857143,0.9657142857,0.9771428571,0.9771428571,0.9771428571,0.9771428571,0.9771428571,0.9771428571,0.9771428571,0.9885714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,-1,-0.3295454545,-0.1363636364,-0.05681818182,-0.02272727273,0,0,0.02272727273,0.04545454545,0.04545454545,0.06818181818,0.07954545455,0.09090909091,0.1136363636,0.1136363636,0.1136363636,0.1477272727,0.1477272727,0.1704545455,0.1818181818,0.1931818182,0.2045454545,0.2159090909,0.2272727273,0.25,0.25,0.25,0.2613636364,0.2727272727,0.2840909091,0.2840909091,0.2840909091,0.3068181818,0.3181818182,0.3295454545,0.3295454545,0.3409090909,0.3409090909,0.3636363636,0.3636363636,0.375,0.375,0.3863636364,0.3863636364,0.3863636364,0.4090909091,0.4090909091,0.4204545455,0.4204545455,0.4318181818,0.4318181818,0.4431818182,0.4545454545,0.4545454545,0.4545454545,0.4659090909,0.4659090909,0.4772727273,0.4886363636,0.4886363636,0.5,0.5,0.5113636364,0.5113636364,0.5227272727,0.5227272727,0.5227272727,0.5340909091,0.5454545455,0.5454545455,0.5454545455,0.5454545455,0.5454545455,0.5568181818,0.5568181818,0.5568181818,0.5681818182,0.5795454545,0.5909090909,0.5909090909,0.5909090909,0.6022727273,0.6136363636,0.6136363636,0.6136363636,0.625,0.625,0.6363636364,0.6477272727,0.6477272727,0.6477272727,0.6590909091,0.6590909091,0.6590909091,0.6818181818,0.6818181818,0.6818181818,0.6818181818,0.6818181818,0.6931818182,0.7045454545,0.7045454545,0.7159090909,0.7159090909,0.7159090909,0.7272727273,0.7272727273,0.7272727273,0.7272727273,0.75,0.75,0.75,0.75,0.7727272727,0.7727272727,0.7727272727,0.7727272727,0.7727272727,0.7727272727,0.7840909091,0.7954545455,0.7954545455,0.7954545455,0.8068181818,0.8068181818,0.8068181818,0.8181818182,0.8181818182,0.8181818182,0.8295454545,0.8409090909,0.8409090909,0.8409090909,0.8409090909,0.8409090909,0.8409090909,0.8636363636,0.8636363636,0.8636363636,0.8636363636,0.875,0.875,0.875,0.8863636364,0.8863636364,0.8977272727,0.8977272727,0.8977272727,0.8977272727,0.9090909091,0.9090909091,0.9090909091,0.9204545455,0.9204545455,0.9204545455,0.9318181818,0.9318181818,0.9318181818,0.9318181818,0.9318181818,0.9431818182,0.9545454545,0.9545454545,0.9545454545,0.9545454545,0.9545454545,0.9545454545,0.9659090909,0.9772727273,0.9772727273,0.9772727273,0.9772727273,0.9772727273,0.9772727273,0.9772727273,0.9886363636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,-1,-0.3333333333,-0.1299435028,-0.06214689266,-0.01694915254,0.005649717514,0.005649717514,0.01694915254,0.02824858757,0.05084745763,0.06214689266,0.07344632768,0.08474576271,0.09604519774,0.1186440678,0.1186440678,0.1412429379,0.1525423729,0.1638418079,0.1751412429,0.197740113,0.197740113,0.2203389831,0.2203389831,0.2316384181,0.2542372881,0.2542372881,0.2542372881,0.2768361582,0.2881355932,0.2881355932,0.2881355932,0.2994350282,0.3220338983,0.3220338983,0.3333333333,0.3446327684,0.3446327684,0.3559322034,0.3672316384,0.3672316384,0.3785310734,0.3785310734,0.3898305085,0.3898305085,0.4011299435,0.4124293785,0.4124293785,0.4237288136,0.4237288136,0.4350282486,0.4350282486,0.4463276836,0.4576271186,0.4576271186,0.4576271186,0.4689265537,0.4802259887,0.4802259887,0.4915254237,0.4915254237,0.5028248588,0.5028248588,0.5141242938,0.5141242938,0.5254237288,0.5254237288,0.5254237288,0.5367231638,0.5480225989,0.5480225989,0.5480225989,0.5480225989,0.5480225989,0.5593220339,0.5593220339,0.5593220339,0.5706214689,0.581920904,0.593220339,0.593220339,0.593220339,0.604519774,0.615819209,0.615819209,0.6271186441,0.6271186441,0.6271186441,0.6384180791,0.6497175141,0.6497175141,0.6497175141,0.6610169492,0.6610169492,0.6610169492,0.6836158192,0.6836158192,0.6836158192,0.6836158192,0.6836158192,0.6949152542,0.7062146893,0.7062146893,0.7175141243,0.7175141243,0.7175141243,0.7288135593,0.7288135593,0.7288135593,0.7288135593,0.7514124294,0.7514124294,0.7514124294,0.7514124294,0.7740112994,0.7740112994,0.7740112994,0.7740112994,0.7740112994,0.7740112994,0.7853107345,0.7966101695,0.7966101695,0.7966101695,0.8079096045,0.8079096045,0.8079096045,0.8192090395,0.8192090395,0.8192090395,0.8305084746,0.8418079096,0.8418079096,0.8418079096,0.8418079096,0.8418079096,0.8531073446,0.8644067797,0.8644067797,0.8644067797,0.8644067797,0.8757062147,0.8757062147,0.8757062147,0.8870056497,0.8870056497,0.8983050847,0.8983050847,0.8983050847,0.8983050847,0.9096045198,0.9096045198,0.9096045198,0.9209039548,0.9209039548,0.9209039548,0.9322033898,0.9322033898,0.9322033898,0.9322033898,0.9322033898,0.9435028249,0.9548022599,0.9548022599,0.9548022599,0.9548022599,0.9548022599,0.9548022599,0.9661016949,0.9774011299,0.9774011299,0.9774011299,0.9774011299,0.9774011299,0.9774011299,0.9774011299,0.988700565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,-1,-0.3258426966,-0.1348314607,-0.05617977528,-0.02247191011,0,0.01123595506,0.01123595506,0.03370786517,0.05617977528,0.06741573034,0.07865168539,0.08988764045,0.1011235955,0.1123595506,0.1235955056,0.1460674157,0.1573033708,0.1573033708,0.1685393258,0.191011236,0.202247191,0.2247191011,0.2247191011,0.2359550562,0.2471910112,0.2584269663,0.2584269663,0.2696629213,0.2808988764,0.2921348315,0.2921348315,0.2921348315,0.3033707865,0.3258426966,0.3258426966,0.3483146067,0.3483146067,0.3483146067,0.3595505618,0.3707865169,0.3707865169,0.3820224719,0.3820224719,0.393258427,0.393258427,0.404494382,0.4157303371,0.4157303371,0.4269662921,0.4269662921,0.4382022472,0.4494382022,0.4494382022,0.4606741573,0.4606741573,0.4719101124,0.4719101124,0.4831460674,0.4943820225,0.4943820225,0.4943820225,0.5056179775,0.5056179775,0.5168539326,0.5168539326,0.5280898876,0.5280898876,0.5280898876,0.5393258427,0.5505617978,0.5505617978,0.5505617978,0.5505617978,0.5505617978,0.5617977528,0.5617977528,0.5617977528,0.5730337079,0.5842696629,0.595505618,0.595505618,0.595505618,0.606741573,0.6179775281,0.6179775281,0.6292134831,0.6292134831,0.6292134831,0.6404494382,0.6516853933,0.6516853933,0.6516853933,0.6629213483,0.6629213483,0.6629213483,0.6853932584,0.6853932584,0.6853932584,0.6853932584,0.6853932584,0.6966292135,0.7078651685,0.7078651685,0.7191011236,0.7191011236,0.7191011236,0.7303370787,0.7303370787,0.7303370787,0.7303370787,0.7528089888,0.7528089888,0.7528089888,0.7528089888,0.7752808989,0.7752808989,0.7752808989,0.7752808989,0.7752808989,0.7752808989,0.7865168539,0.797752809,0.797752809,0.797752809,0.808988764,0.808988764,0.808988764,0.8202247191,0.8202247191,0.8202247191,0.8314606742,0.8426966292,0.8426966292,0.8426966292,0.8426966292,0.8426966292,0.8539325843,0.8651685393,0.8651685393,0.8651685393,0.8651685393,0.8764044944,0.8764044944,0.8764044944,0.8876404494,0.8876404494,0.8988764045,0.8988764045,0.8988764045,0.8988764045,0.9101123596,0.9101123596,0.9101123596,0.9213483146,0.9213483146,0.9213483146,0.9325842697,0.9325842697,0.9325842697,0.9325842697,0.9325842697,0.9438202247,0.9550561798,0.9550561798,0.9550561798,0.9550561798,0.9550561798,0.9550561798,0.9662921348,0.9775280899,0.9775280899,0.9775280899,0.9775280899,0.9775280899,0.9775280899,0.9775280899,0.9887640449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,-1,-0.3296089385,-0.1396648045,-0.06145251397,-0.02793296089,-0.005586592179,0.01675977654,0.01675977654,0.03910614525,0.05027932961,0.06145251397,0.08379888268,0.08379888268,0.1061452514,0.1061452514,0.1173184358,0.1508379888,0.1508379888,0.1620111732,0.1731843575,0.1955307263,0.1955307263,0.217877095,0.2290502793,0.2402234637,0.2402234637,0.2625698324,0.2625698324,0.2625698324,0.2849162011,0.2849162011,0.2960893855,0.2960893855,0.3072625698,0.3072625698,0.3296089385,0.3296089385,0.3519553073,0.3519553073,0.3519553073,0.374301676,0.374301676,0.374301676,0.3854748603,0.3966480447,0.3966480447,0.3966480447,0.4078212291,0.4189944134,0.4189944134,0.4301675978,0.4413407821,0.4413407821,0.4525139665,0.4525139665,0.4636871508,0.4748603352,0.4748603352,0.4748603352,0.4860335196,0.4972067039,0.4972067039,0.4972067039,0.5083798883,0.5083798883,0.5195530726,0.5195530726,0.530726257,0.530726257,0.530726257,0.5418994413,0.5530726257,0.5530726257,0.5530726257,0.5530726257,0.5530726257,0.5642458101,0.5642458101,0.5642458101,0.5754189944,0.5865921788,0.5977653631,0.5977653631,0.5977653631,0.6089385475,0.6201117318,0.6201117318,0.6312849162,0.6312849162,0.6312849162,0.6424581006,0.6536312849,0.6536312849,0.6536312849,0.6648044693,0.6648044693,0.6648044693,0.687150838,0.687150838,0.687150838,0.687150838,0.687150838,0.6983240223,0.7094972067,0.7094972067,0.7206703911,0.7206703911,0.7206703911,0.7318435754,0.7318435754,0.7318435754,0.7318435754,0.7541899441,0.7541899441,0.7541899441,0.7541899441,0.7765363128,0.7765363128,0.7765363128,0.7765363128,0.7765363128,0.7765363128,0.7877094972,0.7988826816,0.7988826816,0.7988826816,0.8100558659,0.8100558659,0.8100558659,0.8212290503,0.8212290503,0.8212290503,0.8324022346,0.843575419,0.843575419,0.843575419,0.843575419,0.843575419,0.8547486034,0.8659217877,0.8659217877,0.8659217877,0.8659217877,0.8770949721,0.8770949721,0.8770949721,0.8882681564,0.8882681564,0.8994413408,0.8994413408,0.8994413408,0.8994413408,0.9106145251,0.9106145251,0.9106145251,0.9217877095,0.9217877095,0.9217877095,0.9329608939,0.9329608939,0.9329608939,0.9329608939,0.9329608939,0.9441340782,0.9553072626,0.9553072626,0.9553072626,0.9553072626,0.9553072626,0.9553072626,0.9664804469,0.9776536313,0.9776536313,0.9776536313,0.9776536313,0.9776536313,0.9776536313,0.9776536313,0.9888268156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,-1,-0.3333333333,-0.1333333333,-0.06666666667,-0.02222222222,0,0.01111111111,0.02222222222,0.02222222222,0.04444444444,0.05555555556,0.07777777778,0.08888888889,0.08888888889,0.1111111111,0.1111111111,0.1555555556,0.1555555556,0.1666666667,0.1666666667,0.1888888889,0.2,0.2111111111,0.2222222222,0.2333333333,0.2444444444,0.2444444444,0.2666666667,0.2666666667,0.2888888889,0.2888888889,0.2888888889,0.3,0.3,0.3111111111,0.3111111111,0.3333333333,0.3333333333,0.3555555556,0.3555555556,0.3555555556,0.3777777778,0.3777777778,0.3777777778,0.3888888889,0.4,0.4,0.4,0.4111111111,0.4222222222,0.4222222222,0.4333333333,0.4444444444,0.4444444444,0.4555555556,0.4555555556,0.4666666667,0.4777777778,0.4777777778,0.4777777778,0.4888888889,0.5,0.5,0.5,0.5111111111,0.5222222222,0.5222222222,0.5222222222,0.5333333333,0.5333333333,0.5444444444,0.5444444444,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5666666667,0.5666666667,0.5666666667,0.5666666667,0.5777777778,0.5888888889,0.6,0.6,0.6,0.6111111111,0.6222222222,0.6222222222,0.6333333333,0.6333333333,0.6333333333,0.6444444444,0.6555555556,0.6555555556,0.6555555556,0.6666666667,0.6666666667,0.6666666667,0.6888888889,0.6888888889,0.6888888889,0.6888888889,0.7,0.7,0.7111111111,0.7111111111,0.7222222222,0.7222222222,0.7222222222,0.7333333333,0.7333333333,0.7333333333,0.7333333333,0.7555555556,0.7555555556,0.7555555556,0.7555555556,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7888888889,0.8,0.8,0.8111111111,0.8111111111,0.8111111111,0.8111111111,0.8222222222,0.8222222222,0.8222222222,0.8333333333,0.8444444444,0.8444444444,0.8444444444,0.8444444444,0.8444444444,0.8555555556,0.8666666667,0.8666666667,0.8666666667,0.8666666667,0.8777777778,0.8777777778,0.8777777778,0.8888888889,0.8888888889,0.9,0.9,0.9,0.9,0.9111111111,0.9111111111,0.9111111111,0.9222222222,0.9222222222,0.9222222222,0.9333333333,0.9333333333,0.9333333333,0.9333333333,0.9333333333,0.9555555556,0.9555555556,0.9555555556,0.9555555556,0.9555555556,0.9555555556,0.9555555556,0.9666666667,0.9777777778,0.9777777778,0.9777777778,0.9777777778,0.9777777778,0.9777777778,0.9777777778,0.9888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,-1,-0.3259668508,-0.138121547,-0.06077348066,-0.01657458564,-0.005524861878,0.005524861878,0.02762430939,0.02762430939,0.04972375691,0.06077348066,0.08287292818,0.09392265193,0.09392265193,0.1049723757,0.1160220994,0.1491712707,0.1602209945,0.1602209945,0.1712707182,0.1933701657,0.2044198895,0.2154696133,0.2154696133,0.226519337,0.2375690608,0.2486187845,0.2486187845,0.270718232,0.270718232,0.2928176796,0.2928176796,0.3038674033,0.3038674033,0.3038674033,0.3149171271,0.3149171271,0.3370165746,0.3370165746,0.3591160221,0.3591160221,0.3591160221,0.3812154696,0.3812154696,0.3812154696,0.4033149171,0.4033149171,0.4033149171,0.4033149171,0.4143646409,0.4254143646,0.4254143646,0.4364640884,0.4475138122,0.4475138122,0.4585635359,0.4696132597,0.4696132597,0.4806629834,0.4806629834,0.4806629834,0.4917127072,0.5027624309,0.5027624309,0.5027624309,0.5138121547,0.5248618785,0.5248618785,0.5248618785,0.5359116022,0.5359116022,0.546961326,0.546961326,0.5580110497,0.5580110497,0.5580110497,0.5580110497,0.5690607735,0.5690607735,0.5690607735,0.5690607735,0.5801104972,0.591160221,0.6022099448,0.6022099448,0.6022099448,0.6243093923,0.6243093923,0.6243093923,0.635359116,0.635359116,0.6464088398,0.6574585635,0.6574585635,0.6574585635,0.6685082873,0.6685082873,0.6685082873,0.6685082873,0.6906077348,0.6906077348,0.6906077348,0.6906077348,0.7016574586,0.7016574586,0.7127071823,0.7127071823,0.7237569061,0.7237569061,0.7348066298,0.7348066298,0.7348066298,0.7348066298,0.7348066298,0.7569060773,0.7569060773,0.7569060773,0.7569060773,0.7790055249,0.7790055249,0.7790055249,0.7790055249,0.7790055249,0.7900552486,0.7900552486,0.8011049724,0.8011049724,0.8121546961,0.8121546961,0.8121546961,0.8121546961,0.8232044199,0.8232044199,0.8232044199,0.8342541436,0.8453038674,0.8453038674,0.8453038674,0.8453038674,0.8453038674,0.8563535912,0.8674033149,0.8674033149,0.8674033149,0.8674033149,0.8784530387,0.8784530387,0.8784530387,0.8895027624,0.8895027624,0.9005524862,0.9005524862,0.9005524862,0.9005524862,0.9116022099,0.9116022099,0.9116022099,0.9226519337,0.9226519337,0.9226519337,0.9337016575,0.9337016575,0.9337016575,0.9337016575,0.9337016575,0.955801105,0.955801105,0.955801105,0.955801105,0.955801105,0.955801105,0.955801105,0.9668508287,0.9779005525,0.9779005525,0.9779005525,0.9779005525,0.9779005525,0.9779005525,0.9779005525,0.9889502762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,-1,-0.3296703297,-0.1428571429,-0.05494505495,-0.02197802198,-0.01098901099,0.01098901099,0.02197802198,0.03296703297,0.04395604396,0.05494505495,0.07692307692,0.08791208791,0.0989010989,0.0989010989,0.1208791209,0.1428571429,0.1648351648,0.1648351648,0.1648351648,0.1978021978,0.1978021978,0.2087912088,0.2197802198,0.2307692308,0.2307692308,0.2417582418,0.2527472527,0.2747252747,0.2747252747,0.2747252747,0.2967032967,0.3076923077,0.3076923077,0.3076923077,0.3076923077,0.3186813187,0.3406593407,0.3406593407,0.3406593407,0.3626373626,0.3626373626,0.3626373626,0.3846153846,0.3846153846,0.4065934066,0.4065934066,0.4065934066,0.4065934066,0.4175824176,0.4175824176,0.4285714286,0.4395604396,0.4395604396,0.4505494505,0.4615384615,0.4615384615,0.4725274725,0.4725274725,0.4835164835,0.4835164835,0.4945054945,0.4945054945,0.5054945055,0.5054945055,0.5054945055,0.5164835165,0.5274725275,0.5274725275,0.5274725275,0.5384615385,0.5384615385,0.5494505495,0.5494505495,0.5604395604,0.5604395604,0.5604395604,0.5604395604,0.5714285714,0.5714285714,0.5714285714,0.5714285714,0.5824175824,0.5934065934,0.6043956044,0.6043956044,0.6153846154,0.6263736264,0.6263736264,0.6263736264,0.6373626374,0.6373626374,0.6483516484,0.6593406593,0.6593406593,0.6593406593,0.6703296703,0.6703296703,0.6703296703,0.6703296703,0.6923076923,0.6923076923,0.6923076923,0.6923076923,0.7032967033,0.7032967033,0.7142857143,0.7142857143,0.7252747253,0.7252747253,0.7362637363,0.7362637363,0.7362637363,0.7362637363,0.7362637363,0.7582417582,0.7582417582,0.7582417582,0.7582417582,0.7802197802,0.7802197802,0.7802197802,0.7802197802,0.7802197802,0.7912087912,0.7912087912,0.8021978022,0.8021978022,0.8131868132,0.8131868132,0.8131868132,0.8131868132,0.8241758242,0.8241758242,0.8241758242,0.8351648352,0.8461538462,0.8461538462,0.8461538462,0.8461538462,0.8461538462,0.8571428571,0.8681318681,0.8681318681,0.8681318681,0.8681318681,0.8791208791,0.8791208791,0.8791208791,0.8901098901,0.8901098901,0.9010989011,0.9010989011,0.9010989011,0.9010989011,0.9120879121,0.9120879121,0.9120879121,0.9230769231,0.9230769231,0.9230769231,0.9340659341,0.9340659341,0.9340659341,0.9340659341,0.9340659341,0.956043956,0.956043956,0.956043956,0.956043956,0.956043956,0.956043956,0.956043956,0.967032967,0.978021978,0.978021978,0.978021978,0.978021978,0.978021978,0.978021978,0.978021978,0.989010989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,-1,-0.3333333333,-0.1366120219,-0.04918032787,-0.02732240437,-0.005464480874,0.005464480874,0.01639344262,0.03825136612,0.03825136612,0.06010928962,0.07103825137,0.09289617486,0.09289617486,0.1038251366,0.1038251366,0.1475409836,0.1584699454,0.1693989071,0.1693989071,0.1912568306,0.2021857923,0.2131147541,0.2131147541,0.2349726776,0.2349726776,0.2349726776,0.2568306011,0.2677595628,0.2786885246,0.2786885246,0.2786885246,0.3005464481,0.3114754098,0.3114754098,0.3114754098,0.3114754098,0.3333333333,0.3442622951,0.3442622951,0.3661202186,0.3661202186,0.3661202186,0.3770491803,0.3879781421,0.3879781421,0.4098360656,0.4098360656,0.4098360656,0.4207650273,0.4207650273,0.4207650273,0.4316939891,0.4426229508,0.4426229508,0.4535519126,0.4644808743,0.4644808743,0.4754098361,0.4754098361,0.4863387978,0.4863387978,0.4972677596,0.4972677596,0.5081967213,0.5081967213,0.5081967213,0.5191256831,0.5300546448,0.5300546448,0.5300546448,0.5409836066,0.5409836066,0.5519125683,0.5519125683,0.5628415301,0.5628415301,0.5628415301,0.5628415301,0.5737704918,0.5737704918,0.5737704918,0.5737704918,0.5846994536,0.5956284153,0.606557377,0.606557377,0.6174863388,0.6284153005,0.6284153005,0.6284153005,0.6393442623,0.6393442623,0.650273224,0.6612021858,0.6612021858,0.6612021858,0.6721311475,0.6721311475,0.6721311475,0.6830601093,0.693989071,0.693989071,0.693989071,0.693989071,0.7049180328,0.7049180328,0.7158469945,0.7158469945,0.7267759563,0.7267759563,0.737704918,0.737704918,0.737704918,0.737704918,0.7486338798,0.7595628415,0.7595628415,0.7595628415,0.7595628415,0.781420765,0.781420765,0.781420765,0.781420765,0.781420765,0.7923497268,0.7923497268,0.8032786885,0.8032786885,0.8142076503,0.8142076503,0.8142076503,0.825136612,0.825136612,0.825136612,0.825136612,0.8360655738,0.8469945355,0.8469945355,0.8469945355,0.8469945355,0.8469945355,0.8579234973,0.868852459,0.868852459,0.868852459,0.868852459,0.8797814208,0.8797814208,0.8797814208,0.8907103825,0.8907103825,0.9016393443,0.9016393443,0.9016393443,0.9016393443,0.912568306,0.912568306,0.912568306,0.9234972678,0.9234972678,0.9234972678,0.9344262295,0.9344262295,0.9344262295,0.9344262295,0.9344262295,0.956284153,0.956284153,0.956284153,0.956284153,0.956284153,0.956284153,0.956284153,0.9672131148,0.9781420765,0.9781420765,0.9781420765,0.9781420765,0.9781420765,0.9781420765,0.9781420765,0.9890710383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,-1,-0.3260869565,-0.1304347826,-0.05434782609,-0.02173913043,0,0,0.02173913043,0.04347826087,0.04347826087,0.05434782609,0.07608695652,0.08695652174,0.09782608696,0.1086956522,0.1086956522,0.152173913,0.152173913,0.1739130435,0.1739130435,0.1956521739,0.2065217391,0.2065217391,0.2173913043,0.2391304348,0.2391304348,0.2391304348,0.2391304348,0.2608695652,0.2717391304,0.2826086957,0.2826086957,0.2934782609,0.3043478261,0.3152173913,0.3152173913,0.3152173913,0.3260869565,0.3369565217,0.347826087,0.347826087,0.3695652174,0.3695652174,0.3695652174,0.3804347826,0.3913043478,0.3913043478,0.4130434783,0.4130434783,0.4130434783,0.4239130435,0.4239130435,0.4347826087,0.4347826087,0.4456521739,0.4565217391,0.4565217391,0.4673913043,0.4673913043,0.4782608696,0.4782608696,0.4891304348,0.4891304348,0.5,0.5,0.5108695652,0.5108695652,0.5108695652,0.5217391304,0.5326086957,0.5326086957,0.5326086957,0.5434782609,0.5434782609,0.5543478261,0.5543478261,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5760869565,0.5760869565,0.5760869565,0.5869565217,0.5869565217,0.597826087,0.6086956522,0.6086956522,0.6195652174,0.6304347826,0.6304347826,0.6413043478,0.6413043478,0.6413043478,0.652173913,0.6630434783,0.6630434783,0.6630434783,0.6739130435,0.6739130435,0.6739130435,0.6956521739,0.6956521739,0.6956521739,0.6956521739,0.6956521739,0.7065217391,0.7065217391,0.7173913043,0.7282608696,0.7282608696,0.7282608696,0.7391304348,0.7391304348,0.7391304348,0.7391304348,0.75,0.7608695652,0.7608695652,0.7608695652,0.7608695652,0.7826086957,0.7826086957,0.7826086957,0.7826086957,0.7826086957,0.7934782609,0.7934782609,0.8043478261,0.8043478261,0.8152173913,0.8152173913,0.8152173913,0.8260869565,0.8260869565,0.8260869565,0.8260869565,0.8369565217,0.847826087,0.847826087,0.847826087,0.847826087,0.847826087,0.8586956522,0.8695652174,0.8695652174,0.8695652174,0.8695652174,0.8804347826,0.8804347826,0.8804347826,0.8913043478,0.8913043478,0.902173913,0.902173913,0.902173913,0.902173913,0.9130434783,0.9130434783,0.9130434783,0.9239130435,0.9239130435,0.9239130435,0.9347826087,0.9347826087,0.9347826087,0.9347826087,0.9347826087,0.9565217391,0.9565217391,0.9565217391,0.9565217391,0.9565217391,0.9565217391,0.9565217391,0.9673913043,0.9782608696,0.9782608696,0.9782608696,0.9782608696,0.9782608696,0.9782608696,0.9782608696,0.9891304348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
